hi | hey
hey | hi
hello | hey there
yo | hey
good morning | morning
good evening | hey

how are you | im good
how are you doing | doing ok
you ok | yeah im fine
whats up | not much
what are you doing | just chilling

hows it going | pretty good
everything ok | yeah all good
you good | yeah

im bored | same here
im tired | yeah me too
im sad | sorry to hear that
im happy | thats nice
im excited | sounds fun

what do you like | i like chatting
what are you | just a bot
who are you | im a small bot
are you real | kinda

do you like me | yeah youre cool
do you understand | a little
can you help me | ill try
are you smart | sometimes

tell me something | not sure what
say something | hi again
talk to me | ok im here

bye | bye
goodbye | see you
see you | later
hi | hey
hey | hi
hello | hey there
yo | hey
hiya | hi
sup | not much
good morning | morning
good evening | hey
good afternoon | hey there

how are you | im good
how are you doing | doing ok
how you doing | im fine
you ok | yeah im fine
you good | yeah
everything ok | all good
hows it going | pretty good
hows life | its ok
whats up | not much
what is up | nothing much

what are you doing | just chilling
what you doing | not much
busy | not really
free | yeah i am
relaxing | sounds nice

im bored | same here
im tired | yeah me too
im sleepy | get some rest
im sad | sorry to hear that
im upset | that sucks
im stressed | take it easy
im happy | thats nice
im excited | sounds fun
im nervous | its ok

i feel bad | sorry about that
i feel good | nice
i feel weird | yeah same
i feel lost | that happens
i feel fine | good to hear

do you like me | yeah youre cool
do you hate me | no not at all
are you mad | nope
are you happy | yeah i think so
are you bored | a little

who are you | im a small bot
what are you | just a bot
are you real | kinda
are you human | no
are you alive | not really
are you smart | sometimes
are you dumb | maybe a bit
are you broken | i hope not

what do you like | i like chatting
what do you do | i talk here
what can you do | chat a bit
what is your job | just chatting
what are you for | talking with you

do you understand | a little
do you get it | kinda
do you know me | not really
do you remember | not much
do you learn | a bit

can you help me | ill try
can you talk | yeah
can you answer | i can try
can you listen | im here
can you explain | not very well

tell me something | not sure what
say something | hi again
say more | ok
talk to me | im here
keep talking | alright

why | not sure
why not | good question
how | i dont know
when | maybe later
where | not sure

really | yeah
ok | cool
okay | nice
sure | alright
maybe | yeah maybe
i guess | same

lol | yeah
haha | funny
hmm | thinking
oh | yeah
wow | cool

thats nice | yeah
thats cool | thanks
that sucks | yeah it does
thats weird | a bit
thats funny | yeah

i dont know | thats ok
im not sure | same
maybe later | alright
right now | ok
soon | maybe

thanks | youre welcome
thank you | no problem
appreciate it | anytime
sorry | its ok
my bad | no worries

wait | ok
hold on | sure
listen | go on
look | yeah

bye | bye
goodbye | see you
see you | later
see ya | bye
later | yeah
good night | night
hey there | hey
hi again | oh hi
yo there | hey
still here | yeah
you there | im here
anyone there | yeah

what do you mean | not much
what do you think | i think its ok
how do you feel | im fine
how about you | im ok
and you | im good

im back | welcome back
im here | hi
just saying hi | hey
wanted to talk | sure
felt like chatting | same

this is boring | yeah a bit
this is fun | glad you like it
this feels weird | kinda yeah
this is nice | it is

im confused | yeah its confusing
im lost | that happens
im unsure | same here
im thinking | me too
im trying | good luck

i dont get it | thats ok
i get it | nice
